rooms_No,ownership_form,interior_state,floor,balcony,parking_space,listing_type,description,year_built,building_type,lift,link2
1,pełna własność,do wykończenia,4/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/kawalerki-przy-lesiepelna-oferta-ID4nbvf
2,pełna własność,do remontu,2/7,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/klimatyczne-2-pokoje-58-73-m2-warszawa-bemowo-ID4n3Xr
3,pełna własność,do wykończenia,1/8,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-56m2-balkon-bezposrednio-ID4ly8k
4,N/A,do wykończenia,3/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowy-apartament-2-miejsca-postojowe-mokotow-ID4ncpd
5,pełna własność,do wykończenia,7/8,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/5-pokojowe-mieszkanie-112m2-2-balkony-ID4ly7F
4,pełna własność,do wykończenia,3/8,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-94m2-balkon-bez-prowizji-ID4ly8x
2,pełna własność,do zamieszkania,2/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-z-charakterem-i-niepowtarzalnym-stylem-ID4l7vX
3,N/A,do wykończenia,5/16,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/grzybowska-37-82-m2-3-pokoje-z-loggia-na-5-p-ID4mixG
5,N/A,do remontu,7/8,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-148-m-warszawa-ID4nbxy
3,pełna własność,do zamieszkania,3/7,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokoje-67m-na-zielonym-zoliborzu-przy-metrze-ID4icJF
4,N/A,do remontu,2/2,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/saska-kepa-mieszkanie-w-kamienicy-ID4ncoD
4,pełna własność,N/A,1/2,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/unikat-apartament-na-skarpie-170m2-garaz-taras-ID4ncpk
2,pełna własność,do zamieszkania,4/4,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/2pok-kamienica-cegla-po-remoncie-ciche-ID4nbXV
2,pełna własność,do zamieszkania,4/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/zoliborz-artystyczny-mieszkanie-na-inwestycje-ID4gml9
2,N/A,do zamieszkania,parter/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/52-m2-z-ogrodkiem-oddzielnym-wejsciem-i-garazem-ID4mW0J
4,pełna własność,N/A,1/2,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/unikat-apartament-na-skarpie-170m2-garaz-taras-ID4ncpi
3,pełna własność,do remontu,parter/4,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/klimatyczne-57-mkw-3-pokojowe-na-powislu-ID4lU1u
2,pełna własność,do zamieszkania,parter/2,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/wyjatkowe-do-zamieszkania-lub-inwestycyjnie-ID4kvdk
2,pełna własność,do wykończenia,1/4,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/gotowe-apartamenty-inwestycyjne-na-ursynowie-ID4ncr9
5,spółdzielcze wł. prawo do lokalu,do zamieszkania,1/1,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/5-pokojowe-mieszkanie-na-zawadach-przy-pl-vogla-ID4i88L
3,pełna własność,do zamieszkania,3/3,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/klimatyczne-mieszkanie-z-dobra-energia-ID4mZ8d
1,pełna własność,do zamieszkania,10/11,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/piekny-widok-centrum-inwestycja-metro-ID4ncrH
2,pełna własność,do wykończenia,2/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-56m2-balkon-ID4fsoJ
3,pełna własność,do wykończenia,1/3,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/naturalnie-aluzyjna-zielona-okolica-na-bialolece-ID4ncqK
5,pełna własność,N/A,3/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/5-pokoi-bemowo-130-m-wysoki-standard-taras-metro-ID4i0Rz
3,pełna własność,do wykończenia,4/6,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-60m2-balkon-bezposrednio-ID4lhxD
1,pełna własność,do wykończenia,3/9,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-43m2-balkon-bez-prowizji-ID4jQcS
2,pełna własność,do wykończenia,1/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/39m2-2-pokoje-balkon-garaz-2023-r-ID4nc2R
2,pełna własność,do wykończenia,4/6,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-46m2-balkon-bez-prowizji-ID4lhvZ
3,pełna własność,do wykończenia,1/7,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-67m2-loggia-bezposrednio-ID4ltTt
2,pełna własność,do wykończenia,2/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/12min-do-metra-kredyt-2-winda-garaz-ID4nbD8
2,pełna własność,do zamieszkania,4/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-53m2-w-swietnej-lokalizacji-ID4mKdy
4,pełna własność,do wykończenia,6/7,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-74m2-loggia-bez-prowizji-ID4llnW
3,spółdzielcze wł. prawo do lokalu,do remontu,parter/4,"balkon, ogródek",N/A,,,,,,https://www.otodom.pl/pl/oferta/parter-z-ogrodkiem-zielone-osiedle-ursus-ID4mUFF
3,pełna własność,do zamieszkania,1/4,"balkon, ogródek, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/na-sprzedaz-bezposrednio-85m2-3-pokoje-wlochy-ID4lZ3I
2,pełna własność,do zamieszkania,2/6,"balkon, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-47m2-bezposr-superwidok-balkon-parking-ID4nbE2
2,N/A,N/A,parter/8,"balkon, ogródek, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-49-81m2-na-bielanach-ID4mwr2
2,N/A,N/A,5/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-na-pradze-polnoc-ID4n9Pp
4,pełna własność,do zamieszkania,parter/2,"ogródek, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/rodzinny-apartament-z-ogrodkiem-osiedle-patio-ID4k414
4,pełna własność,do zamieszkania,3/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/styl-nowoczesnosc-lokalizacja-ID4iXUx
2,N/A,do zamieszkania,7/8,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/ursus-2-pokoje-wykonczenie-premium-ID4na3g
1,pełna własność,do zamieszkania,parter/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/rembertow-32m2-piwnica-przy-stacji-skm-ID4nc4S
1,N/A,do zamieszkania,7/10,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/metro-marymont-sady-zoliborskie-do-zamieszkania-ID4nbHj
1,pełna własność,do zamieszkania,2/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-27-5-m2-z-balkonem-anin-warszawa-ID4nc5b
2,pełna własność,do zamieszkania,> 10/23,"balkon, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/apartament-na-woli-z-sauna-ID4nbFA
2,N/A,do wykończenia,parter/3,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/2pokojowe-na-bialolece-ogrodek-obok-tramwaju-ID4na52
1,N/A,do zamieszkania,7/10,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/metro-marymont-sady-zoliborskie-do-zamieszkania-ID4nbHk
3,pełna własność,do wykończenia,2/5,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-64m2-loggia-ID4ltJm
2,N/A,do wykończenia,2/3,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-na-bialolece-balkon-obok-tramwaju-ID4na54
2,N/A,do wykończenia,2/8,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/narozne-2pok-super-cena-metro-15min-program-2-ID4nc6a
3,spółdzielcze wł. prawo do lokalu,do zamieszkania,8/12,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/141-50-m2-potencjal-huge-potential-ID4j4In
2,N/A,do wykończenia,3/3,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-na-bialolece-balkon-obok-tramwaju-ID4na59
2,pełna własność,do zamieszkania,parter/2,"balkon, ogródek",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/300-m-do-skm-warszawa-goclawek-ogrodek-zadbane-ID4na6b
2,pełna własność,do wykończenia,1/4,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/unikatowa-kawalerka-w-zrewitalizowanej-kamienicy-ID4nc7S
2,N/A,do wykończenia,2/3,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-na-bialolece-balkon-obok-tramwaju-ID4na57
2,pełna własność,do zamieszkania,3/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/inwestycja-kamienica-plac-unii-lubelskiej-3m-ID4n9Or
3,N/A,N/A,N/A,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-61-m-warszawa-ID4na5x
2,N/A,do wykończenia,4/8,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2pok-balkon-22m2-metro-15min-pieszo-program2-ID4nc77
2,pełna własność,do wykończenia,3/8,"balkon, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/targowek-metro-2-pok-tylko-598tys-zl-slonce-ID4na6f
2,pełna własność,do wykończenia,parter/8,"ogródek, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/metro-2-pok-tylko-602tys-zl-sloneczne-targowek-ID4na6d
2,pełna własność,do zamieszkania,1,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-m2-37m2-goclaw-praga-poludnie-z-meblami-ID4nc8q
3,pełna własność,do zamieszkania,1/4,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/warszawa-stare-miasto-340cm-wys-70m2-ID4nc7W
2,pełna własność,do remontu,2/4,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pok-z-widna-kuchnia-przy-koneserze-ID4ncbp
3,N/A,do zamieszkania,5/7,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/komfortowe-mieszkanie-z-widokiem-na-zielen-metro-ID4na7y
3,pełna własność,do zamieszkania,parter/4,"ogródek, taras",N/A,,,,,,https://www.otodom.pl/pl/oferta/na-sprzedaz-3-pokoje-z-duzym-ogrodkiem-wlochy-ID4ncaa
2,pełna własność,do remontu,1/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/2-pokoje-mieszkanie-w-kamienicy-na-mokotowie-ID4n6QY
3,pełna własność,do wykończenia,1/3,"balkon, ogródek, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-z-najnizymi-kosztami-eksploatacji-oze-ID4mNbG
2,pełna własność,do zamieszkania,1/1,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/mokotow-fort-cze-2-pokoje-z-tarasem-ID4na7Z
2,pełna własność,do wykończenia,1/7,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/dwustronne-2-3-pokoje-49m-garaz-ursus-ID4ncao
2,pełna własność,do wykończenia,1/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-45m2-balkon-bez-prowizji-ID4hFhd
4,pełna własność,do zamieszkania,3/3,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/duze-mieszkanie-na-pograniczu-wilanowa-i-mokotowa-ID4na9e
3,pełna własność,do wykończenia,3/4,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-111m2-taras-bez-prowizji-ID4hFhy
1,pełna własność,do zamieszkania,5/7,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/kawalerka-32-m2-przy-ul-wlodarzewskiej-kredyt-2-ID4n09j
2,pełna własność,do zamieszkania,3/3,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/swietne-do-mieszkania-jak-i-na-inwestycje-ID4ncb9
1,spółdzielcze wł. prawo do lokalu,do wykończenia,3/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-na-bemowie-osiedle-zamkniete-ID4n4lB
2,pełna własność,do wykończenia,2/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/12min-do-metra-blisko-s8-kredyt-2-ID4nace
4,pełna własność,do wykończenia,7/9,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/dostepne-od-zaraz-4-pokoje-metro-galeria-mokotow-ID4naci
4,pełna własność,do wykończenia,parter/4,ogródek,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-101m2-ogrodek-ID4hFhk
5,pełna własność,do wykończenia,parter/4,ogródek,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/5-pokojowe-mieszkanie-132m2-ogrodek-ID4hFh7
3,pełna własność,do wykończenia,1/7,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-66m2-loggia-ID4ltT7
3,pełna własność,do wykończenia,2/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/garaz-winda-20min-do-centrum-kredyt-2-ID4nacA
3,spółdzielcze wł. prawo do lokalu,do zamieszkania,2/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/metro-imielin-60m2-3-pokojowe-po-remoncie-ID4nadZ
3,pełna własność,do zamieszkania,1/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/klimatyzowany-apartament-z-dwoma-balkonami-ID4n108
4,pełna własność,do zamieszkania,2/2,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/inwestycyjne-funkcjonalne-4-pok-ID4ncbZ
4,pełna własność,do wykończenia,6/7,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-83m2-loggia-bezposrednio-ID4ltSW
2,pełna własność,do zamieszkania,2/7,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/10-min-do-centrum-obok-lazienek-krolewskich-ID4nbqf
3,N/A,N/A,6/6,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/rondo-wiatraczna-3-pokoje-wysoki-standard-ID4k4bX
3,N/A,N/A,4/4,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/metro-3-pok-2-balkony-bez-prowizji-bez-pcc-ID4jJrO
4,N/A,N/A,3/4,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/wysokie-antresola-ciche-widne-4-pokoje-ID4jJrM
2,pełna własność,do wykończenia,3/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/apartamenty-inwestycyjne-zwrot-23-vat-ID4keK9
5,pełna własność,do remontu,4/4,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/kamienica-107m2-5-pok-zaaranzuj-wlasne-wnetrze-ID4mHhS
4,pełna własność,do wykończenia,1/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/zamieszkaj-w-nowym-budynku-na-tarchominie-ID4muQV
4,N/A,N/A,4/4,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/metro-trocka-4-pok-targowek-bez-podatku-ID4jJrN
4,pełna własność,do zamieszkania,3/3,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/huculska-klimat-mokotow-kamienica-ID4n7bW
3,pełna własność,do wykończenia,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/taras-53m2-widna-kuchnia-garaz-12min-do-metra-ID4naKX
3,pełna własność,do wykończenia,7/7,"taras, ogródek",N/A,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-71m2-ogrodek-bez-prowizji-ID4n8K2
2,pełna własność,do wykończenia,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4min-do-s8-2-pokoje-kredyt-2-12min-do-metra-ID4naLe
1,pełna własność,do wykończenia,5/7,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-loggia-bez-prowizji-ID4kHIo
2,pełna własność,do wykończenia,7/8,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-46m2-loggia-bez-prowizji-ID4ly8n
3,pełna własność,do wykończenia,1/8,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-71m2-loggia-bezposrednio-ID4ly8o
1,pełna własność,N/A,2/4,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-23-39-m-warszawa-ID4mE5X
4,pełna własność,do wykończenia,5/8,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-94m2-balkon-ID4ly8t
2,pełna własność,do wykończenia,N/A,"balkon, ogródek",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/wyjatkowe-eco-berensona-kredyt-2-bezposrednio-ID4mYpM
2,pełna własność,do wykończenia,3/7,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-50m2-loggia-ID4kHIq
4,pełna własność,do zamieszkania,parter/3,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/okazja-ul-saska-2-poziomy-kamienica-108-m2-ID4kqGi
2,pełna własność,do zamieszkania,2/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/pod-klucz-apartamenty-inwestycyjne-gotowe-ID4naRj
1,pełna własność,do zamieszkania,1/5,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/pod-klucz-apartamenty-inwestycyjne-gotowe-ID4naRh
2,pełna własność,N/A,2/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-36-13m2-bialoleka-ID4nal3
6,pełna własność,do zamieszkania,parter/1,"balkon, ogródek, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/dom-fotowolatika-pompa-ciepla-rekuperacja-350zl-mi-ID4nakR
2,pełna własność,do zamieszkania,3/5,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/pod-klucz-apartamenty-inwestycyjne-gotowe-ID4naRm
2,pełna własność,N/A,1/2,"balkon, ogródek",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/bezposrednio-2-pokoje-okazja-ID4n51l
3,pełna własność,do wykończenia,2/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/20min-do-centrum-3-pok-dla-rodziny-blisko-s8-ID4naRD
2,pełna własność,do wykończenia,6/8,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/dwupokojowe-z-balkonem-do-wlasnej-aranzacji-ID4nakh
1,pełna własność,N/A,1/2,"balkon, ogródek",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/nowa-kawalerka-pompa-ciepla-panele-ID4n511
2,N/A,N/A,2/3,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-po-remoncie-ID4nal5
2,pełna własność,N/A,2/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/idealne-mieszkanie-na-start-ID4nal9
2,pełna własność,do wykończenia,parter/2,ogródek,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/prywatny-ogrod-2-pokoje-12min-do-metra-kondrato-ID4naS1
2,pełna własność,N/A,2/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-2-pokoje-37-33m2-bialoleka-ID4nalf
3,pełna własność,do wykończenia,1/5,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-62m2-loggia-bez-prowizji-ID4ltJd
3,pełna własność,N/A,2/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/nowe-4-pok-piekne-mieszkanie-mokotow-sluzewiec-ID4n3RX
4,pełna własność,N/A,2/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-4-pokoje-bialoleka-ID4nalg
2,pełna własność,N/A,2/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/nowe-2-pokojowe-mieszkanie-na-bialolece-ID4nalb
3,pełna własność,N/A,3/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/nowe-4-pokojowe-mieszkanie-mokotow-sluzewiec-ID4n3S1
4,pełna własność,N/A,1/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-4-pokojowe-wykonczone-mokotow-ID4myvI
2,pełna własność,do zamieszkania,4/4,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/metro-bemowo-49-7-m2-urokliwe-poddasze-2-pokoje-ID4namC
2,N/A,N/A,3/5,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/dwupokojowy-luksusowy-apartament-foksal-ID4mOuP
3,pełna własność,do wykończenia,6/11,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/3-pokoje-blisko-komunikacji-ID4nano
1,pełna własność,do wykończenia,6,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/duze-mieszkanie-typu-studio-dobra-lokalizacja-ID4naoj
3,N/A,do zamieszkania,4/4,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/niepowtarzalny-apartament-z-poddaszem-na-starowce-ID4eIuf
3,N/A,N/A,8/8,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/luksusowy-apartament-w-samym-sercu-stolicy-ID4hc7y
2,udział,do zamieszkania,1/5,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/bezposrednio-ladne-metro-sprzedaz-tylko-za-gotowke-ID4naZP
2,N/A,do zamieszkania,parter/4,"taras, ogródek",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/atrakcyjne-2-pokojowe-z-duzym-ogrodkiem-pkp-wlochy-ID4narb
2,pełna własność,do wykończenia,2/7,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-50m2-loggia-bezposrednio-ID4kHIc
5,N/A,do zamieszkania,8/9,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/apartament-z-ogrodem-zimowym-i-tarasem-zoliborz-ID4gSNo
1,pełna własność,do wykończenia,2/9,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-43m2-balkon-bezposrednio-ID4jQdF
3,pełna własność,do zamieszkania,3/4,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/trzy-niezalezne-kawalerki-na-nowym-swiecie-ID4nb4b
4,pełna własność,do zamieszkania,> 10/44,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/unikatowy-apartament-lux-3-sypialnie-ID4mei2
3,pełna własność,do zamieszkania,3/4,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/piekne-3-pokojowe-w-kamienicy-na-nowy-swiecie-ID4nb46
4,pełna własność,do remontu,1/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-do-remontu-1pietro-balkon-parking-ID4m9go
1,pełna własność,do zamieszkania,4/10,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/kawalerka-przy-g-mokotow-ID4n4Q1
3,pełna własność,do zamieszkania,1/3,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/bialoleka-3-pokoje-jasne-wnetrze-garaz-ID4nasq
3,pełna własność,do zamieszkania,2/9,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/oryginalne-mieszkanie-3-pokoje-centrum-ID4n67m
3,pełna własność,do zamieszkania,3/5,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokoje-ul-przeworska-budynek-z-2018-roku-ID4nasJ
6,pełna własność,N/A,1/4,ogródek,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/apartament-na-gornym-mokotowie-298-4m2-5-pokoi-201-ID4nb56
2,pełna własność,do zamieszkania,3/3,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/3cie-ostatnie-pietro-w-kamienicy-na-starej-ochocie-ID4mToM
4,pełna własność,do zamieszkania,1/1,ogródek,N/A,,,,,,https://www.otodom.pl/pl/oferta/do-sprzedania-mieszkanie-4-pokoje-widna-kuchnia-ID4natH
4,N/A,do zamieszkania,3/6,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/100-m2-4-pokoje-wlochy-zielona-italia-ID4naxn
3,pełna własność,do zamieszkania,1/1,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/rezerwacja-anin-przestronne-i-ciche-ID4mhD0
2,N/A,do remontu,3/10,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/2-pokoje-bemowo-metro-ID4nazU
2,N/A,do zamieszkania,1/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/sady-zoliborskie-dobrze-skomunikowane-ciche-ID4nazT
2,N/A,do zamieszkania,10/10,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/widok-na-centrum-spokojna-okolica-blisko-tramwaj-ID4mxHm
3,pełna własność,do zamieszkania,3/12,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-55-7-m2-goclaw-z-wyposazeniem-ID4naBK
