rooms_No,ownership_form,interior_state,floor,balcony,parking_space,listing_type,description,year_built,building_type,lift,link2
4,pełna własność,do wykończenia,1/2,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/rezydencja-premium-salon-55-m2-wysokosc-3-metry-ID4nqhx
3,N/A,do wykończenia,1/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-77m2-2-balkony-ID4kDry
3,pełna własność,do wykończenia,3/9,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokoje-goclawek-doskonala-komunikacja-ID4nocS
4,N/A,N/A,parter/7,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/blisko-centrum-2-ogrody-promocja-700zl-m2-ID4nr3e
4,N/A,do zamieszkania,1/3,"balkon, ogródek",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-warszawa-wilanow-ID4nkTb
4,N/A,do zamieszkania,9/12,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/4-pokoje-super-inwestycja-szczesliwice-ID4ns90
3,N/A,do wykończenia,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/bialoleka-marki-15-km-do-centrum-1-km-do-ch-m1-ID4dgvN
2,pełna własność,N/A,parter/3,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/powisle-2-pokoje-31m2-kamienica-3m-wysokosci-ID4ns8w
5,pełna własność,N/A,2/7,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/wygodne-5-pokoi-z-oddzielna-kuchnia-ID4nr32
2,pełna własność,N/A,3/4,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/srodmiescie-56m2-2-pokoje-metro-ratusz-arsenal-ID4ns8q
4,pełna własność,do wykończenia,1/2,"ogródek, balkon",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-4-pokojowe-z-ogrodkiem-i-garazem-a1-ID4mpy2
2,pełna własność,do wykończenia,5/6,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pok-taras-goclaw-kredyt-2-ID4nqEp
4,pełna własność,do zamieszkania,2/3,"balkon, taras",N/A,,,,,,https://www.otodom.pl/pl/oferta/4-pokoje-z-duzym-balkonem-na-bemowie-ID4lsyk
3,pełna własność,N/A,1/1,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/loft-garden-wesola-etap-ii-57-99m2-apartament-loft-ID4m4Kn
2,N/A,do wykończenia,parter/5,ogródek,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-z-prywatnym-ogrodkem-ID4nsjV
4,pełna własność,do wykończenia,1/8,"balkon, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-dla-rodziny-2-2-ID4nonS
3,N/A,N/A,4/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/apartament-w-kamienicy-klimatyzacja-parking-basen-ID4n5wk
5,N/A,N/A,4/4,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/luksusowy-penthouse-2-tarasy-klimatyzacja-ID4n5vl
3,N/A,N/A,> 10/52,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/apartament-zlota-44-2-sypialnie-2-lazienki-ID4ni6x
2,pełna własność,do zamieszkania,3/3,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-w-zabytkowej-kamienicy-53m2-ID4nnWm
3,pełna własność,do zamieszkania,2/4,"balkon, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokoje-64-m-nowoczesne-do-wprowadzenia-ID4nqFL
3,N/A,do wykończenia,parter,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/nowy-lokal-brzeska-u5p-ID4eTvY
3,pełna własność,do zamieszkania,1/3,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowy-apartament-w-miasteczku-wilanow-ID4nmI7
