title,price,area,link1,rooms_No,ownership_form,interior_state,balcony,parking_space,link2,street,nbrhood,district,city,vvdship,timestamp
3-pokojowe mieszkanie 60m2 + balkon Bez Prowizji,1129128,60.06,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-60m2-balkon-bez-prowizji-ID4kgvn,3,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-60m2-balkon-bez-prowizji-ID4kgvn,ul. Figowa, Siekierki, Mokotów, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
3-pokojowe mieszkanie 64m2 + 2 balkony,Zapytaj o cenę,64.89,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-64m2-2-balkony-ID4dGFr,3,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-64m2-2-balkony-ID4dGFr,ul. Gioacchino Rossiniego, Kobiałka, Białołęka, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
1-pokojowe mieszkanie 31m2 + balkon,Zapytaj o cenę,31.45,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-balkon-ID4njkg,1,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-balkon-ID4njkg,ul. Gioacchino Rossiniego, Kobiałka, Białołęka, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"3 - pok. przy metrze Młociny, Lekka / Sokratesa",1299999,62.46,https://www.otodom.pl/pl/oferta/3-pok-przy-metrze-mlociny-lekka-sokratesa-ID4mtld,3,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/3-pok-przy-metrze-mlociny-lekka-sokratesa-ID4mtld,Lekka 1, Wawrzyszew, Bielany, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Pasaż Abrahama | nowe mieszkanie M20,1228672,95.0,https://www.otodom.pl/pl/oferta/pasaz-abrahama-nowe-mieszkanie-m20-ID4kc1E,4,pełna własność,do wykończenia,no data,no data,https://www.otodom.pl/pl/oferta/pasaz-abrahama-nowe-mieszkanie-m20-ID4kc1E,ul. gen. Romana Abrahama, Gocław, Praga-Południe, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
BEZPOŚREDNIO Górny Mokotów 2-pokojowe mieszkanie,940000,50.0,https://www.otodom.pl/pl/oferta/bezposrednio-gorny-mokotow-2-pokojowe-mieszkanie-ID4mH5f,2,pełna własność,do zamieszkania,no data,no data,https://www.otodom.pl/pl/oferta/bezposrednio-gorny-mokotow-2-pokojowe-mieszkanie-ID4mH5f,no info,Stary Mokotów, Mokotów, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
BEZSPOŚREDNIO Kamienica Noakowskiego16 31m prestiż,870000,31.2,https://www.otodom.pl/pl/oferta/bezsposrednio-kamienica-noakowskiego16-31m-prestiz-ID4mUlY,1,pełna własność,do zamieszkania,no data,no data,https://www.otodom.pl/pl/oferta/bezsposrednio-kamienica-noakowskiego16-31m-prestiz-ID4mUlY,ul. Stanisława Noakowskiego 16, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Kameralny budynek | stan deweloperski,2410000,74.44,https://www.otodom.pl/pl/oferta/kameralny-budynek-stan-deweloperski-ID4ntra,3,no data,do zamieszkania,taras,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/kameralny-budynek-stan-deweloperski-ID4ntra,ul. Słoneczna, Stary Mokotów, Mokotów, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"Warszawa Bliska Wola Ogrodowa, kawalerka 27m2 Lux",549000,27.0,https://www.otodom.pl/pl/oferta/warszawa-bliska-wola-ogrodowa-kawalerka-27m2-lux-ID4nsXB,1,no data,no data,no data,no data,https://www.otodom.pl/pl/oferta/warszawa-bliska-wola-ogrodowa-kawalerka-27m2-lux-ID4nsXB,ul. Ogrodowa, Mirów, Wola, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"Ursynów, 2 pokoje - 37 m2 -Bez  prowizji,  kredyt",630388,37.26,https://www.otodom.pl/pl/oferta/ursynow-2-pokoje-37-m2-bez-prowizji-kredyt-ID4nrHD,2,no data,do wykończenia,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/ursynow-2-pokoje-37-m2-bez-prowizji-kredyt-ID4nrHD,no info,Las Kabacki, Ursynów, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
